Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Engagement;Origen
rejuran.global.official;https://instagram.com/rejuran.global.official;8748;231;-;-;0.64%;dr.gunsandneedles
dr.kimandyeji;https://instagram.com/dr.kimandyeji;37000;113;-;-;0.0%;dr.gunsandneedles
drbabisrammos;https://instagram.com/drbabisrammos;105000;657;-;founder;1.26%;dr.gunsandneedles
drayadharb;https://instagram.com/drayadharb;140000;1777;-;-;0.69%;dr.gunsandneedles
hairbyruslan;https://instagram.com/hairbyruslan;137000;1770;-;stylist;0.08%;dr.gunsandneedles
drducu;https://instagram.com/drducu;168000;863;-;speaker;0.04%;dr.gunsandneedles
frenchtoastkiller;https://instagram.com/frenchtoastkiller;52000;687;-;artist;0.0%;dr.gunsandneedles
vanessalee_rn;https://instagram.com/vanessalee_rn;132000;2463;-;editor;0.0%;dr.gunsandneedles
needle_daddy;https://instagram.com/needle_daddy;26000;441;-;injector;1.07%;dr.gunsandneedles
untamedstreet;https://instagram.com/untamedstreet;75000;1674;-;-;0.04%;dr.gunsandneedles
vicentedental;https://instagram.com/vicentedental;10000;617;-;dentist;1.33%;dr.gunsandneedles
dangskyn;https://instagram.com/dangskyn;21000;362;-;speaker;0.0%;dr.gunsandneedles
michelhirji;https://instagram.com/michelhirji;73000;1004;-;-;2.03%;dr.gunsandneedles
rajacquilla;https://instagram.com/rajacquilla;56000;2307;-;dj;0.12%;dr.gunsandneedles
brand.nat;https://instagram.com/brand.nat;152000;1061;-;tech;0.0%;dr.gunsandneedles
keeganhasegawa;https://instagram.com/keeganhasegawa;127000;324;-;fashion;0.14%;dr.gunsandneedles
sushikoji.official;https://instagram.com/sushikoji.official;99000;2140;-;-;0.0%;dr.gunsandneedles
dr_salvatore_artiano;https://instagram.com/dr_salvatore_artiano;179000;496;-;medic;0.0%;dr.gunsandneedles
dansolomon_official;https://instagram.com/dansolomon_official;67000;494;-;fitness;0.0%;dr.gunsandneedles
modernhackz;https://instagram.com/modernhackz;193000;221;-;-;0.0%;dr.gunsandneedles
injectorzoe;https://instagram.com/injectorzoe;63000;3330;-;injector;0.34%;dr.gunsandneedles
doctorzoya;https://instagram.com/doctorzoya;55000;373;-;medic;0.0%;dr.gunsandneedles
quantumbiomechanics;https://instagram.com/quantumbiomechanics;94000;157;-;-;2.87%;dr.gunsandneedles
mattd74;https://instagram.com/mattd74;56000;3432;-;fashion;0.54%;dr.gunsandneedles
dallas.np.injector;https://instagram.com/dallas.np.injector;4596;853;-;founder;1.37%;dr.gunsandneedles
fine_clinic_official;https://instagram.com/fine_clinic_official;43000;136;-;doctor;0.67%;dr.gunsandneedles
chelsiebaham;https://instagram.com/chelsiebaham;84000;279;-;speaker;0.0%;dr.gunsandneedles
drjasonyuan;https://instagram.com/drjasonyuan;164000;627;-;medic;0.0%;dr.gunsandneedles
sebastien.lagree;https://instagram.com/sebastien.lagree;43000;2902;-;fitness;0.0%;dr.gunsandneedles
bioproteintech;https://instagram.com/bioproteintech;43000;720;-;pr;0.0%;dr.gunsandneedles
remedyplace;https://instagram.com/remedyplace;107000;816;-;medic;0.0%;dr.gunsandneedles
dr.phillipdauwe;https://instagram.com/dr.phillipdauwe;23000;640;-;surgeon;0.45%;dr.gunsandneedles
drharrisclinic;https://instagram.com/drharrisclinic;182000;833;-;medic;0.67%;dr.gunsandneedles
endo.lasvegas;https://instagram.com/endo.lasvegas;4950;158;-;-;0.0%;dr.gunsandneedles
dr_saami;https://instagram.com/dr_saami;28000;347;-;medic;0.0%;dr.gunsandneedles
baileysboujee;https://instagram.com/baileysboujee;145000;2012;-;founder;0.98%;dr.gunsandneedles
gainswave;https://instagram.com/gainswave;75000;1940;-;pr;0.0%;dr.gunsandneedles
plastic_surgery_munich;https://instagram.com/plastic_surgery_munich;32000;941;-;md;0.0%;dr.gunsandneedles
dannywanghomes;https://instagram.com/dannywanghomes;32000;120;-;pr;0.0%;dr.gunsandneedles
doctormonika;https://instagram.com/doctormonika;42000;449;-;founder;0.0%;dr.gunsandneedles
thejeffreyhuang;https://instagram.com/thejeffreyhuang;68000;465;-;travel;0.58%;dr.gunsandneedles
carolinateasdale;https://instagram.com/carolinateasdale;85000;3402;-;coach;0.0%;dr.gunsandneedles
gyuplus_lv;https://instagram.com/gyuplus_lv;38000;379;-;-;0.0%;dr.gunsandneedles
madeinkorea_____;https://instagram.com/madeinkorea_____;42000;1463;-;seo;0.0%;dr.gunsandneedles
swiftbeauty;https://instagram.com/swiftbeauty;113000;146;-;surgeon;0.0%;dr.gunsandneedles
aestheticsbygalderma;https://instagram.com/aestheticsbygalderma;72000;970;-;-;0.0%;dr.gunsandneedles
theoffdutyedit;https://instagram.com/theoffdutyedit;19000;323;-;fashion;1.01%;dr.gunsandneedles
thedailygoyim;https://instagram.com/thedailygoyim;146000;135;-;pr;0.0%;dr.gunsandneedles
drjonathanleary;https://instagram.com/drjonathanleary;57000;965;-;founder;1.99%;dr.gunsandneedles
ropho_ifbbpro;https://instagram.com/ropho_ifbbpro;13000;553;-;coach;1.47%;dr.gunsandneedles
mehdisinamd;https://instagram.com/mehdisinamd;5925;302;-;surgeon;0.0%;dr.gunsandneedles
practitionerahmed;https://instagram.com/practitionerahmed;4553;237;-;botox;0.0%;dr.gunsandneedles
