Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Origen
chiarclara;https://instagram.com/chiarclara;2263;600;-;-;FOLLOWING
gilda_trucco_permanente;https://instagram.com/gilda_trucco_permanente;2254;437;-;-;FOLLOWING
francesca_galotti_master;https://instagram.com/francesca_galotti_master;15000;1375;-;-;FOLLOWING
lalory__;https://instagram.com/lalory__;2738;267;-;-;FOLLOWING
giusystraniero13;https://instagram.com/giusystraniero13;8414;802;-;-;FOLLOWING
maristelladiana.tatouage;https://instagram.com/maristelladiana.tatouage;2838;249;-;-;FOLLOWING
lu.lastella;https://instagram.com/lu.lastella;2736;455;-;-;FOLLOWING
shimalamouchi;https://instagram.com/shimalamouchi;2155;510;-;-;FOLLOWING
martina.dellapieta;https://instagram.com/martina.dellapieta;4661;174;-;-;FOLLOWING
lidia_iosca;https://instagram.com/lidia_iosca;5201;256;-;-;FOLLOWING
mari.francez;https://instagram.com/mari.francez;8121;636;-;medic;FOLLOWING
marilena_celano_pmu;https://instagram.com/marilena_celano_pmu;3838;109;-;-;FOLLOWING
_barbaraperri_;https://instagram.com/_barbaraperri_;2027;446;-;-;FOLLOWING
luciatidu;https://instagram.com/luciatidu;8344;161;-;-;FOLLOWING
elenaspinaci;https://instagram.com/elenaspinaci;10000;705;-;-;FOLLOWING
giusiriccio_;https://instagram.com/giusiriccio_;14000;462;-;fashion;FOLLOWING
alej_moreno;https://instagram.com/alej_moreno;11000;147;-;-;FOLLOWING
giuliagiarletta;https://instagram.com/giuliagiarletta;36000;108;-;realtor;FOLLOWING
luisa_regimenti;https://instagram.com/luisa_regimenti;18000;2797;-;-;FOLLOWING
_manu_________;https://instagram.com/_manu_________;119000;1557;-;fitness;FOLLOWING
cercasi.susan.disperatamente;https://instagram.com/cercasi.susan.disperatamente;62000;938;-;-;FOLLOWING
costanza__x;https://instagram.com/costanza__x;2159;146;-;-;FOLLOWING
paseo206_boutiquehotel;https://instagram.com/paseo206_boutiquehotel;3630;935;-;-;FOLLOWING
sole_functional_trainer;https://instagram.com/sole_functional_trainer;15000;3381;-;fitness;FOLLOWING
imclaudia_91;https://instagram.com/imclaudia_91;19000;159;-;-;FOLLOWING
valeria.loves.food;https://instagram.com/valeria.loves.food;3876;212;-;-;FOLLOWING
solange_levato;https://instagram.com/solange_levato;153000;3521;-;-;FOLLOWING
tere____tere;https://instagram.com/tere____tere;9358;1425;-;-;FOLLOWING
tyna_fit_;https://instagram.com/tyna_fit_;24000;143;-;-;FOLLOWING
gelsomina_buonaiuto;https://instagram.com/gelsomina_buonaiuto;2302;116;-;-;FOLLOWING
ariannatumiotto;https://instagram.com/ariannatumiotto;15000;172;-;-;FOLLOWING
