Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Engagement;Origen
arettaswansonauthor;https://instagram.com/arettaswansonauthor;2402;246;-;speaker;0.0%;FOLLOWING
thee_govnah;https://instagram.com/thee_govnah;3924;1170;-;-;0.18%;FOLLOWING
elisha_kolade;https://instagram.com/elisha_kolade;2551;219;-;coach;0.12%;FOLLOWING
lisathomasglobal;https://instagram.com/lisathomasglobal;4635;2923;-;-;1.05%;FOLLOWING
drsabrinadnp;https://instagram.com/drsabrinadnp;2072;492;-;strategist;0.19%;FOLLOWING
wearealphafemme;https://instagram.com/wearealphafemme;7164;180;-;-;0.82%;FOLLOWING
kellycarterdesign;https://instagram.com/kellycarterdesign;2503;331;-;interior design;0.0%;FOLLOWING
casandra.austinmcdonald;https://instagram.com/casandra.austinmcdonald;5101;158;-;pr;0.07%;FOLLOWING
daniellam2519;https://instagram.com/daniellam2519;2112;126;-;-;1.75%;FOLLOWING
daliaforreels;https://instagram.com/daliaforreels;3022;513;-;coach;0.0%;FOLLOWING
_torriosorio_;https://instagram.com/_torriosorio_;3975;861;-;-;0.0%;FOLLOWING
officialtorikruse;https://instagram.com/officialtorikruse;11000;2205;-;founder;0.0%;FOLLOWING
vkogan;https://instagram.com/vkogan;4006;7860;-;pr;0.0%;FOLLOWING
thefeinhome;https://instagram.com/thefeinhome;5719;287;-;pr;0.54%;FOLLOWING
monica_idano;https://instagram.com/monica_idano;5072;270;-;ceo;0.69%;FOLLOWING
missuzy;https://instagram.com/missuzy;12000;1282;-;author;0.0%;FOLLOWING
jamie_butler_medium;https://instagram.com/jamie_butler_medium;7932;1798;-;author;1.79%;FOLLOWING
sashacdudley;https://instagram.com/sashacdudley;4862;365;-;interior design;0.0%;FOLLOWING
dukesclothier;https://instagram.com/dukesclothier;26000;3499;-;-;0.13%;FOLLOWING
amberiveyart;https://instagram.com/amberiveyart;2850;1354;-;artist;0.09%;FOLLOWING
drinkyuzy;https://instagram.com/drinkyuzy;3007;239;-;pr;1.31%;FOLLOWING
drziagaylyn;https://instagram.com/drziagaylyn;5103;469;-;chiropractor;2.16%;FOLLOWING
thesocialhummingbird;https://instagram.com/thesocialhummingbird;13000;940;-;-;0.52%;FOLLOWING
sarahtrottingtheglobe;https://instagram.com/sarahtrottingtheglobe;13000;478;-;lawyer;1.11%;FOLLOWING
alluringcreationsmc;https://instagram.com/alluringcreationsmc;4410;282;-;-;0.0%;FOLLOWING
nativhealing;https://instagram.com/nativhealing;3646;301;-;pr;0.38%;FOLLOWING
wandasantos_haynes;https://instagram.com/wandasantos_haynes;10000;845;-;phd;0.0%;FOLLOWING
