Usuario;URL;Seguidores;Publicaciones;Categoria;Nicho;Engagement;Origen
sostalksmoney;https://instagram.com/sostalksmoney;126000;581;-;podcast;0.0%;FOLLOWING
lifeaccordingtotodd;https://instagram.com/lifeaccordingtotodd;219000;970;-;founder;0.0%;FOLLOWING
mannyavaras;https://instagram.com/mannyavaras;13000;136;-;ceo;0.0%;FOLLOWING
ryan.zofay;https://instagram.com/ryan.zofay;172000;1247;-;founder;0.0%;FOLLOWING
stripmallguy;https://instagram.com/stripmallguy;21000;550;-;real estate;0.0%;FOLLOWING
chconstructiongroup;https://instagram.com/chconstructiongroup;77000;1693;-;real estate;0.0%;FOLLOWING
chris_smth;https://instagram.com/chris_smth;37000;1637;-;founder;0.0%;FOLLOWING
thejustincolby;https://instagram.com/thejustincolby;113000;3339;-;coach;0.0%;FOLLOWING
tradedvc;https://instagram.com/tradedvc;192000;7985;-;-;0.05%;FOLLOWING
garynader;https://instagram.com/garynader;33000;2107;-;md;0.19%;FOLLOWING
jensklapatsch;https://instagram.com/jensklapatsch;11000;150;-;tech;0.44%;FOLLOWING
thedeanmiller;https://instagram.com/thedeanmiller;22000;1548;-;-;0.07%;FOLLOWING
fasttwitch;https://instagram.com/fasttwitch;6465;982;-;pr;0.0%;FOLLOWING
wtfdidudotoday;https://instagram.com/wtfdidudotoday;3515;5687;-;-;0.0%;FOLLOWING
kenneth__hunt;https://instagram.com/kenneth__hunt;23000;5817;-;-;0.1%;FOLLOWING
kenny_fast;https://instagram.com/kenny_fast;16000;3169;-;pr;0.0%;FOLLOWING
ai_app_connect;https://instagram.com/ai_app_connect;8909;757;-;app developer;0.01%;FOLLOWING
toasttothegods_;https://instagram.com/toasttothegods_;8135;516;-;artist;0.0%;FOLLOWING
saifishoof;https://instagram.com/saifishoof;4481;228;-;-;2.25%;FOLLOWING
salar.creative;https://instagram.com/salar.creative;35000;119;-;-;0.81%;FOLLOWING
ginacarranza.realtor;https://instagram.com/ginacarranza.realtor;4299;1578;-;realtor;0.0%;FOLLOWING
estradarealestate;https://instagram.com/estradarealestate;9742;867;-;coach;0.48%;FOLLOWING
msalvat;https://instagram.com/msalvat;5819;2020;-;broker;0.23%;FOLLOWING
shoeboxmoses;https://instagram.com/shoeboxmoses;7596;1278;-;podcast;0.07%;FOLLOWING
valueaddmike;https://instagram.com/valueaddmike;2081;393;-;real estate;1.25%;FOLLOWING
djtracyyoung;https://instagram.com/djtracyyoung;17000;1545;-;dj;0.0%;FOLLOWING
ajjennings_;https://instagram.com/ajjennings_;5395;1325;-;realtor;0.14%;FOLLOWING
landflipper;https://instagram.com/landflipper;12000;495;-;-;0.14%;FOLLOWING
therealnatesmith;https://instagram.com/therealnatesmith;10000;646;-;entrepreneur;0.12%;FOLLOWING
ryansharper;https://instagram.com/ryansharper;5507;633;-;ceo;0.15%;FOLLOWING
vega_print;https://instagram.com/vega_print;9400;2251;-;pr;0.37%;FOLLOWING
lisapetrillo;https://instagram.com/lisapetrillo;13000;2618;-;journalist;0.0%;FOLLOWING
yuri.mavashev;https://instagram.com/yuri.mavashev;7278;220;-;consultant;1.58%;FOLLOWING
lukenesler;https://instagram.com/lukenesler;12000;2626;-;real estate;0.0%;FOLLOWING
peregrinehonig;https://instagram.com/peregrinehonig;13000;5195;-;pr;0.56%;FOLLOWING
trystantrenberth;https://instagram.com/trystantrenberth;21000;1189;-;podcast;0.0%;FOLLOWING
andres_ospina88;https://instagram.com/andres_ospina88;5119;286;-;-;0.0%;FOLLOWING
professional_autotransport;https://instagram.com/professional_autotransport;22000;8614;-;pr;0.0%;FOLLOWING
sevejose;https://instagram.com/sevejose;2207;462;-;medic;0.0%;FOLLOWING
rosyrealtor;https://instagram.com/rosyrealtor;2684;312;-;real estate;0.0%;FOLLOWING
